Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,98.272000,-15.138000,-90.0,top
C2,1uF,C_0402_1005Metric,58.648000,-16.662000,90.0,top
C3,1uF,C_0402_1005Metric,-137.186000,-4.625000,-90.0,top
C4,1uF,C_0402_1005Metric,-120.930000,-4.470000,-90.0,top
C5,1uF,C_0402_1005Metric,-54.890000,-19.964000,-90.0,top
C6,1uF,C_0402_1005Metric,146.278000,-14.376000,-90.0,top
C7,1uF,C_0402_1005Metric,-166.015000,-2.438000,-90.0,top
C8,1uF,C_0402_1005Metric,-80.290000,-12.245000,-90.0,top
C9,1uF,C_0402_1005Metric,77.698000,-16.662000,-90.0,top
H1,SS39ET,SOT-23_SS39ET,35.239600,33.791800,147.0,top
H2,SS39ET,SOT-23_SS39ET,-25.564100,-0.715200,-126.0,top
H3,SS39ET,SOT-23_SS39ET,-34.518600,-12.939000,-126.0,top
H4,SS39ET,SOT-23_SS39ET,-33.363400,19.316300,-147.0,top
H5,SS39ET,SOT-23_SS39ET,-44.193400,8.056300,-147.0,top
H6,SS39ET,SOT-23_SS39ET,-54.143400,-4.623700,-147.0,top
H7,SS39ET,SOT-23_SS39ET,-37.342800,35.092500,123.0,top
H8,SS39ET,SOT-23_SS39ET,-50.514600,26.991800,-147.0,top
H9,SS39ET,SOT-23_SS39ET,-61.183100,15.579800,-147.0,top
H10,SS39ET,SOT-23_SS39ET,-71.080400,2.903200,-147.0,top
H11,SS39ET,SOT-23_SS39ET,-43.816800,48.960400,123.0,top
H12,SS39ET,SOT-23_SS39ET,-57.713400,41.966300,-147.0,top
H13,SS39ET,SOT-23_SS39ET,-70.113400,33.041300,-147.0,top
H14,SS39ET,SOT-23_SS39ET,-80.631900,21.383300,-147.0,top
H15,SS39ET,SOT-23_SS39ET,-90.539600,8.816800,-147.0,top
H16,SS39ET,SOT-23_SS39ET,-99.300700,49.766300,-147.0,top
H17,SS39ET,SOT-23_SS39ET,-110.303400,38.856300,-147.0,top
H18,SS39ET,SOT-23_SS39ET,-120.190400,26.053200,-147.0,top
H19,SS39ET,SOT-23_SS39ET,-130.540000,13.420000,-147.0,top
H20,SS39ET,SOT-23_SS39ET,-96.128600,71.522800,-147.0,top
H21,SS39ET,SOT-23_SS39ET,-108.378600,62.372800,-147.0,top
H22,SS39ET,SOT-23_SS39ET,-119.414000,51.419900,-147.0,top
H23,SS39ET,SOT-23_SS39ET,-129.563400,39.116300,-147.0,top
H24,SS39ET,SOT-23_SS39ET,-51.866800,61.860400,123.0,top
